title,series,author,language,genres,pages,publishDate,firstPublishDate,numRatings,likedPercent,coverImg
The Poisonwood Bible,,Barbara Kingsolver,English,"['Fiction', 'Historical Fiction', 'Africa', 'Classics', 'Historical', 'Literary Fiction', 'Literature', 'Novels', 'Religion', 'Adult Fiction']",546,7/5/2005,9/24/1998,658743,91,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1412242487l/7244.jpg
The Princess Bride,,William Goldman,English,"['Fantasy', 'Fiction', 'Classics', 'Romance', 'Humor', 'Young Adult', 'Adventure', 'Science Fiction Fantasy', 'Comedy', 'Fairy Tales']",456,7/15/2003,9/1/1973,779597,95,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327903636l/21787.jpg
The Road,,Cormac McCarthy,English,"['Fiction', 'Science Fiction', 'Dystopia', 'Post Apocalyptic', 'Classics', 'Horror', 'Literature', 'Novels', 'Apocalyptic', 'Contemporary']",241,10/2/2006,9/26/2006,716197,90,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1600241424l/6288.jpg
The Secret Garden,,Frances Hodgson Burnett,English,"['Classics', 'Fiction', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Literature', 'Fantasy', 'Historical', 'Audiobook']",331,9/1/1998,10/28/2010,891374,95,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327873635l/2998.jpg
The Stand,,Stephen King,English,"['Horror', 'Fiction', 'Fantasy', 'Science Fiction', 'Post Apocalyptic', 'Thriller', 'Dystopia', 'Apocalyptic', 'Audiobook', 'Classics']",1153,5/1/1990,10/3/1978,616021,96,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1213131305l/149267.jpg
The Strange Case of Dr. Jekyll and Mr. Hyde,,Robert Louis Stevenson,,,,,,,,
The Time Traveler's Wife,,Audrey Niffenegger,English,"['Fiction', 'Romance', 'Fantasy', 'Time Travel', 'Science Fiction', 'Contemporary', 'Adult', 'Chick Lit', 'Adult Fiction', 'Magical Realism']",500,9/23/2013,7/5/2003,1573857,91,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380660571l/18619684.jpg
The Trojan Women,,Euripides,,,,,,,,
The Wind in the Willows,,Kenneth Grahame,,,,,,,,
Til We Have Faces,,C. S. Lewis,,,,,,,,
To Kill a Mockingbird,To Kill a Mockingbird,Harper Lee,English,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'Young Adult', 'Historical', 'Novels', 'Read For School', 'High School']",324,5/23/2006,7/11/1960,4501075,95,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553383690l/2657.jpg
Twilight,The Twilight Saga #1,Stephenie Meyer,English,"['Young Adult', 'Fantasy', 'Romance', 'Vampires', 'Fiction', 'Paranormal', 'Paranormal Romance', 'Supernatural', 'Teen', 'Urban Fantasy']",501,9/6/2006,10/5/2005,4964519,78,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361039443l/41865.jpg
Vampire Academy,Vampire Academy #1,Richelle Mead,English,"['Young Adult', 'Fantasy', 'Vampires', 'Paranormal', 'Romance', 'Urban Fantasy', 'Fiction', 'Supernatural', 'Paranormal Romance', 'Magic']",332,8/16/2007,,548959,92,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361098973l/345627.jpg
Water for Elephants,,Sara Gruen,English,"['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary', 'Book Club', 'Novels', 'Animals']",335,5/1/2007,5/28/2006,1379584,94,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494428973l/43641._SY475_.jpg
Watership Down,Watership Down #1,Richard Adams,English,"['Classics', 'Fiction', 'Fantasy', 'Young Adult', 'Animals', 'Childrens', 'Adventure', 'Literature', 'Novels', 'Audiobook']",478,6/28/1975,11/28/1972,433754,91,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405136931l/76620.jpg
Where the Wild Things Are,,Maurice Sendak,English,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Fantasy', 'Adventure', 'Young Adult', 'Animals', 'Kids', 'Monsters']",37,10/28/2000,4/19/1963,816934,93,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384434560l/19543.jpg
